GameID,White,Black,Result,Date,Time,WhiteElo,BlackElo,TimeControl,Variant,Moves,,
0,cecht,molsonhart,0-1,2024.09.01,0:25:35,1846,1967,60+0,Chess960,e2e4 h8g6 b2b3 b7b6 f2f3 c7c5 h1f2 b8h2 g1h1 h2g3 h1h7 e8f6 h7h3 g3c7 d2d4 g6f4 h3g3 c5d4 a1d4 e7e5 d4e3 f8a3 e1d3 d8c8 e3f4 e5f4 g3g5 d7d5 e4e5 f6e4 f3e4 d5e4 f2e4 a8e4 f1f4 e4b7 f4f7 c8b8 g5g7 d8c8 g7g8 b7g2 g8c8 b8c8 f7e8 c8b7 e5e6 g2c6 e8f7 a3d6,..,
1,BBBGirl,Ivo-Marinov,1-0,2024.09.01,0:25:40,1894,1655,120+0,Chess960,e2e4 b7b6 d2d4 a8b7 g1f3 e7e6 f1d3 d7d5 e4e5 f7f6 d1e3 f6e5 d4e5 d8c6 c2c3 c8b8 e1d2 g8e7 c1h1 g7g6 b2b3 h7h5 b1d1 f8h6 d2e2 e7f5 e3f5 g6f5 d3a6 e8g6 a6b7 c8b7 f3h4 g6g5 g2g3 h8g8 g1h1 f5f4 h4g2 c6e5 g2f4 h5h4 f4e6 g5f5 e6d8 g8d8 c3c4 e5f3 d1d5 d8d5 c4d5 h4g3 f2g3 f5g4 e2f3 g4f3 f1f3,..,
2,Magna19,AspectOfTheNerd,0-1,2024.09.01,0:25:40,1152,1966,120+0,Chess960,b2b4 e7e5 c2c4 f8e6 c4c5 c7c6 d1c2 d7d5 h2h4 d8f6 h4h5 e5e4 d2d3 f6a1 d3e4 a1f6 e4d5 c6d5 h5h6 c8e7 h6g7 f6g7 c2h7 g8f8 h7c2 h8h1 g1h1 b8e5 c2b3 e5h5 h1g1 h5e2 b1h7 e2e1 c1d3 e1e2 d3f4 e6f4 f1g3 e2e5 g3e2 f4e2 g1f1 e2f4 b3c2 e5e2 f1g1 e2g4 g1h2 g4g2,..,
3,vladimirzozulya1500,chessleo92,1-0,2024.09.01,0:26:18,1567,1566,300+0,Chess960,a1b3 d7d5 c2c3 c7c5 e2e4 a8b6 e4d5 b6d5 f1e3 d5e3 f2e3 f8e6 d2d4 c5d4 e3d4 e8b5 b1d3 b5d3 d1d3 c8c4 d3f3 b8d6 e1g3 d6g3 f3g3 g8d8 g1h1 h8f8 g3f3 f7f6 c1e3 e6g5 f3g3 d8e8 h2h4 g5f7 g3g7 e7e5 d4e5 e8e5 e3a7 c8c7 a7f2 c7b8 f2f6 e5e6 f6f4 c4f4 f1f4 e6e1 g1f2 f8e8 g7f7 e1e2 f2g3 e2b2 f7f8 e8f8 f4f8 b8a7 f8f7 b2a2 b3c5 a2b2 f7h7 b2b5 h7b7 b5b7 c5b7 a7b7 h4h5,..,
4,Lary_Lodini,kuraftinho,0-1,2024.09.01,0:26:24,1889,1915,90+0,Chess960,e1f3 a7a5 f3g5 e8d6 c2c3 h7h6 g5f3 b8a7 d2d4 a5a4 e2e3 g7g5 f1d2 g5g4 f3h4 e7e5 d4e5 h8e5 d1g1 b7b5 f2f4 e5h5 h4f3 a7e3 f1f2 g4g3 h2h3 g3f2 g1f1 b5b4 b1d3 c8a6 d3a6 a8a6 c3b4 h5b5,..,
5,Killda,gmweinberg,0-1,2024.09.01,0:26:54,1551,1616,600+0,Chess960,b2b4 g8f6 c1b2 d7d5 b2f6 e7f6 b4b5 f8e6 h2h4 a7a6 d2d4 a6b5 b1b5 c7c6 b5b3 d8c7 b3h3 a8a7 c2c3 b8a8 d1b3 b7b6 h4h5 h7h6 h3e3 c8a6 f1d2 c7f4 e3h3 f4d2 e1d2 e8h8 a1b1 a6c4 d2e3 a7c7 b3c4 c7f4 e3d3 f4e4 d3d2 e4b1 h3d3 d5c4 d3g3 a8a2 d2e3 f8e8 h1h4 e6g5 e3f4 b1e4,..,
6,nathantmg,mle,0-1,2024.09.01,0:28:05,1970,1859,180+0,Chess960,c2c4 g8f6 b2b3 b7b6 d1c3 c7c5 e2e3 h7h5 h2h3 h8h6 g1e2 h6g5 f2f3 h5h4 e1c1 b8g3 e2g3 h4g3 f3f4 g5h4 d2d4 c5d4 d1d4 d8e6 d4d2 a7a6 f1d1 b6b5 b1d3 b5c4 d3c4 e6c5 c1b1 c5e4 c3e4 a8e4 c4d3 h4h7 a1f6 e4d3 d2d3 g7f6 b1b2 h7e4 d3d7 c8c2 b2a1 e8f8 h1e1 e4g2 d7d2 c2d2 d1d2 g2f3 d2d7 f8c8 a1b2 g8f8 d7d2 e7e6 e1e2 f3c6 e2d1 c6c3 b2b1 c3e3 f4f5 e3e4 b1a1 e4e5 a1b1 e5f5,..,
7,drogba13,Demoleitor64,0-1,2024.09.01,0:28:15,2070,1987,120+0,Chess960,e2e3 e7e5 c2c4 g8f6 b2b3 b7b6 g1f3 d7d6 h2h3 c8b7 b1c3 b8d7 d1c2 f8h8 f1h1 h7h6 b3b4 c7c6 a2a3 d6d5 c2b3 e5e4 f3h2 d8c7 c1d1 c7b8 f2f4 e4f3 h2f3 b7c7 d2d4 a7a6 c4d5 c6d5 d1d3 b6b5 c3e2 f6e4 e1c1 c7d6 a1b2 d7b6 f3e5 b6c4 b3c4 d5c4 d3d1 f7f6 e5g6 d6h2,..,
8,a_true_Ninja,SLABIFOR,0-1,2024.09.01,0:28:15,2048,1860,120+0,Chess960,g2g3 a8b6 f2f4 d7d5 e1f3 g7g6 a1b3 e7e5 f4e5 d8e7 g1b6 a7b6 d2d4 f7f6 d1d2 c8b8 c1b1 f6e5 d4e5 h8e5 f3e5 f8f1 d1f1 e7e5 h1f3 c8b8 c2c3 c7c6 b3d4 e8d6 d2c2 d6c4 c2a4 e5e3 c1c2 e3d2 c2b1 d2b2,..,
9,Jack639,m1ntaka,0-1,2024.09.01,0:28:33,1268,1505,600+3,Chess960,c1d3 f7f6 e1d1 e7e5 d3c5 f8c5 e2e3 c5a5 d2d3 g8a2 b1a2 a5a2 a1b3 a8b6 c1d2 a2a4 d1a1 a4b4 c2c3 b4b3 a1e1 b3b2 d2d1 b2a1 d1e2 a1c3 e1c1 c3b2 c1c2 b2c2 e2f3 c2c6 e3e4 c8e7 f1e2 e7f5 g2g3 f5d4 f3e3 d4e2,..,
